reference_page,category,collapsible_menu,vertical_dark_menu,vertical_light_menu,decision,notes
form-bootstrap-basic.html,forms,yes,yes,yes,MERGE,Extraer controles base propios; descartar dependencia visual de Bootstrap.
form-bootstrap-touchspin.html,forms,yes,yes,yes,MERGE,Fusionar en NumberInput/Stepper propio.
form-checkbox.html,forms,yes,yes,yes,MERGE,Extraer Checkbox/CheckboxGroup reusable.
form-clipboard.html,forms,yes,yes,yes,MERGE,Fusionar acción de copiar en Input/CopyButton reusable.
form-date-time-picker.html,forms,yes,yes,yes,MERGE,Extraer DatePicker/DateTimePicker reusable.
form-fileupload.html,forms,yes,yes,yes,MERGE,Extraer FileUpload/Dropzone reusable con estados.
form-input-group-basic.html,forms,yes,yes,yes,MERGE,"Extraer InputGroup con prefijos, sufijos y acciones."
form-input-mask.html,forms,yes,yes,yes,MERGE,Fusionar capacidad de máscara en TextField/Input adapters.
form-layouts.html,forms,yes,yes,yes,MERGE,Extraer patrones FormLayout/FormSection; no mantener una página demo independiente.
form-markdown.html,forms,yes,yes,yes,MERGE,Fusionar en RichTextEditor con variante Markdown cuando sea necesaria.
form-maxlength.html,forms,yes,yes,yes,MERGE,Integrar contador de longitud como comportamiento de TextField/Textarea.
form-quill.html,forms,yes,yes,yes,MERGE,Fusionar en RichTextEditor agnóstico de implementación.
form-radio.html,forms,yes,yes,yes,MERGE,Extraer Radio/RadioGroup reusable.
form-slider.html,forms,yes,yes,yes,MERGE,Extraer Slider/RangeInput reusable.
form-switches.html,forms,yes,yes,yes,MERGE,Extraer Switch reusable.
form-tagify.html,forms,yes,yes,yes,MERGE,Fusionar en TagInput reusable.
form-tom-select.html,forms,yes,yes,yes,MERGE,Fusionar en Select/ComboBox reusable; Tom Select no es contrato de producto.
form-validation.html,forms,yes,yes,yes,MERGE,Integrar estados y mensajes de validación en FormField y formularios reales.
form-wizard.html,forms,yes,yes,yes,MERGE,Extraer Wizard/Stepper reusable; consumirlo en flujos reales como el Compositor.
index.html,dashboards,yes,yes,yes,ADAPT,"Conservar como referencia de dashboard operativo compuesto por métricas, actividad y widgets reutilizables. Propiedad probable: patrón transversal Dashboard."
index2.html,dashboards,yes,yes,yes,MERGE,Fusionar sus patrones útiles como variantes/configuración del Dashboard compuesto; evitar dos dashboards genéricos paralelos.
layout-blank-page.html,layouts,yes,yes,yes,MERGE,Fusionar en PageCanvas/PageLayout mínimo; no exponer como demo independiente.
layout-boxed.html,layouts,no,yes,yes,DISCARD,Layout boxed fuera del baseline visual gobernado y sin valor suficiente frente a los tres shells aprobados.
layout-collapsible-menu.html,layouts,yes,yes,yes,MERGE,Ya está representado por el shell gobernado collapsible-menu; usar solo como referencia de comportamiento.
layout-empty.html,layouts,yes,yes,yes,MERGE,Fusionar en PageCanvas/EmptyCanvas reusable para páginas sin contenido inicial.
layout-full-width.html,layouts,yes,no,no,DISCARD,Contradice la regla de navegación izquierda para desktop/tablet y queda fuera del alcance aprobado.
map-leaflet.html,maps,yes,yes,yes,ADAPT,Conservar capacidad de mapa como MapView agnóstico de proveedor y una vista de referencia cuando exista contexto geográfico.
pages-contact-us.html,pages,yes,yes,yes,ADAPT,Conservar como patrón público de contacto/soporte con formulario y canales.
pages-error404.html,pages,yes,yes,yes,ADAPT,Conservar como NotFound/ErrorPage reutilizable para routing.
pages-faq.html,pages,yes,yes,yes,ADAPT,Conservar como patrón FAQ/ayuda reutilizable.
pages-knowledge-base.html,pages,yes,yes,yes,ADAPT,Conservar como patrón de base de conocimiento con búsqueda y categorías.
pages-maintenence.html,pages,yes,yes,yes,ADAPT,Conservar como MaintenancePage/estado de servicio reutilizable.
table-basic.html,tables,yes,yes,yes,MERGE,Fusionar en Table/DataTable base; no página funcional independiente.
table-datatable-basic.html,tables,yes,yes,yes,MERGE,"Fusionar en DataTable configurable con paginación, orden y filtros."
table-datatable-custom.html,tables,yes,yes,yes,MERGE,Fusionar como variantes de columnas/celdas dentro de DataTable.
table-datatable-miscellaneous.html,tables,yes,yes,yes,MERGE,Fusionar comportamientos útiles como opciones documentadas de DataTable.
table-datatable-striped-table.html,tables,yes,yes,yes,MERGE,Fusionar el estilo striped como variante de Table/DataTable.
user-account-settings.html,user,yes,yes,yes,ADAPT,"Conservar como AccountSettings reutilizable para perfil, preferencias y seguridad."
user-profile.html,user,yes,yes,yes,ADAPT,Conservar como UserProfile/CustomerProfile genérico adaptable a consumidores.
widgets.html,widgets,yes,yes,yes,MERGE,"Extraer MetricCard, StatCard y widgets reutilizables para Dashboard y páginas de resumen."
